day	S	E	I	R
96 	 106216.85423045092 	 833.0306864094372 	 1656.5731007582947 	 3715.4456783178794
97 	 106022.73086323298 	 856.6769725373481 	 1705.5830970384213 	 3835.8081198858276
98 	 105823.27757198701 	 880.8589766314395 	 1755.8338546432906 	 3959.724017044973
99 	 105618.38289956652 	 905.5803892455272 	 1807.3436497070168 	 4087.282860253752
100 	 105407.93526311724 	 930.8443400820428 	 1860.1301545057531 	 4218.575430387779
101 	 105191.82312177327 	 956.6533504189626 	 1914.2103690047907 	 4353.6937470695275
102 	 104969.93514254659 	 983.0092934369322 	 1969.6005438683733 	 4492.731019442066
103 	 104742.16037588549 	 1009.913353093022 	 2026.3160999529425 	 4635.781592243457
104 	 104508.38844832312 	 1037.365973857945 	 2084.3715507674005 	 4782.940880960843
105 	 104268.50976020821 	 1065.366816371201 	 2143.7804160863743 	 4934.305304831269
106 	 104022.41569691867 	 1093.9147091318675 	 2204.5551341037444 	 5089.972211783717
107 	 103769.99884880823 	 1123.007599837835 	 2266.7069707628175 	 5250.039797823207
108 	 103511.15323720928 	 1152.642507915638 	 2330.245926961001 	 5414.607021293272
109 	 103245.77455649803 	 1182.8154745789263 	 2395.18064105882 	 5583.773508243426
110 	 102973.76042795439 	 1213.5215123911262 	 2461.5182876999406 	 5757.639450186561
111 	 102695.0106638687 	 1244.7545551186126 	 2529.2644737868063 	 5936.305494163407
112 	 102409.42757489547 	 1276.5074020771913 	 2598.4231196500455 	 6119.872609872919
113 	 102116.91610727727 	 1308.7716929995584 	 2668.996405789393 	 6308.442030839989
114 	 101817.38421419635 	 1341.5378466130512 	 2740.9846331270705 	 6502.1150842327015
115 	 101510.74333035944 	 1374.7949779862545 	 2814.3860415989725 	 6700.992980339727
116 	 101196.90850501589 	 1408.5308842412617 	 2889.1967647917318 	 6905.176739202915
117 	 100875.79862980737 	 1442.7320207565954 	 2965.4107532015246 	 7114.767063305758
118 	 100547.33691617075 	 1477.3834198994566 	 3043.0195930350937 	 7329.864122637351
119 	 100211.45116888311 	 1512.4686692414857 	 3122.0124187755223 	 7550.567390365781
120 	 99868.07411450373 	 1547.9698615481827 	 3202.3757932160584 	 7776.975484372901
121 	 99517.14376972095 	 1583.867566940099 	 3284.0935934016243 	 8009.185940804816
122 	 99158.60374810873 	 1620.1407901961813 	 3367.146898342569 	 8247.29506229815
123 	 98792.40363196513 	 1656.7669570754742 	 3451.513878158227 	 8491.397670676348
124 	 98418.49929662573 	 1693.7218703740803 	 3537.169680447372 	 8741.586940208877
125 	 98036.85327454856 	 1730.9797085210782 	 3624.0863314906087 	 8997.954133727873
126 	 97647.43509413264 	 1768.5129975725583 	 3712.2326319367985 	 9260.58839612928
127 	 97250.221620517 	 1806.2925942553823 	 3801.5740617108668 	 9529.576525622191
128 	 96845.19739590843 	 1844.2876938222355 	 3892.0726844243745 	 9805.00272113545
129 	 96432.35497468765 	 1882.4658264517313 	 3983.687057611969 	 10086.94834057496
130 	 96011.69524490186 	 1920.7928676457823 	 4076.3721581296977 	 10375.491643535468
131 	 95583.22774840756 	 1959.2330473151883 	 4170.07930955317 	 10670.707534673938
132 	 95146.97098949854 	 1997.7489690694745 	 4264.756119482743 	 10972.667298486607
133 	 94702.95271956129 	 2036.301649054716 	 4360.346425087499 	 11281.438330271727
134 	 94251.21022067053 	 2074.8505476893256 	 4456.7902474887815 	 11597.0838664147
135 	 93791.79057108244 	 2113.353613612693 	 4554.0237573490695 	 11919.662709357379
136 	 93324.75089023689 	 2151.7673359448313 	 4651.979252422497 	 12249.228952785652
137 	 92850.15854966252 	 2190.0468141778506 	 4750.5851605668795 	 12585.831697820819
138 	 92368.09138862418 	 2228.1458214575355 	 4849.76603119688 	 12929.51478263749
139 	 91878.63788123874 	 2266.01689194386 	 4949.4425617364595 	 13280.316501534739
140 	 91381.89729320329 	 2303.61140411881 	 5049.531629613577 	 13638.26933290546
141 	 90877.9798053285 	 2340.8796809513537 	 5149.946343972567 	 14003.399663825541
142 	 90367.00660132326 	 2377.7710972957707 	 5250.596113798137 	 14375.727526747027
143 	 89849.10994205 	 2414.2341939686567 	 5351.386726496931 	 14755.266332584124
144 	 89324.4331809682 	 2450.2168053488367 	 5452.22045504403 	 15142.022620523321
145 	 88793.13077583414 	 2485.6661901486195 	 5552.996169080665 	 15535.995804454713
146 	 88255.3682044146 	 2520.5291788051923 	 5653.609496323795 	 15937.177948457289
147 	 87711.32196077544 	 2554.752307024954 	 5753.952941364494 	 16345.553518167559
148 	 87161.17950259612 	 2588.281957975576 	 5853.916028503387 	 16761.09914843772
149 	 86605.13888789574 	 2621.0645663118444 	 5953.385600070373 	 17183.783504263825
150 	 86043.40868013924 	 2653.046780341013 	 6052.245987388701 	 17613.56704255034
151 	 85476.20774293599 	 2684.1756177640436 	 6150.379223658999 	 18050.40184878619
152 	 84903.76506342847 	 2714.3985996271786 	 6247.665235752404 	 18494.23148791146
153 	 84326.31927795873 	 2743.664006681342 	 6343.982212413183 	 18944.990854088748
154 	 83744.11842938456 	 2771.9210049069543 	 6439.206824243262 	 19402.606067877823
155 	 83157.41957349854 	 2799.119838748365 	 6533.21453240559 	 19866.99436787872
156 	 82566.4883330931 	 2825.2120351352155 	 6625.879918596022 	 20338.06402267339
157 	 81971.59845529222 	 2850.1505692800542 	 6717.076968776385 	 20815.714323963373
158 	 81373.03131199429 	 2873.8900668920787 	 6806.679439080647 	 21299.835518007007
159 	 80771.07538463095 	 2896.3869701834083 	 6894.561202662323 	 21790.30880800692
160 	 80166.02573425858 	 2917.5996739842203 	 6980.596603550971 	 22287.006394046868
161 	 79558.18338643928 	 2937.4887464979647 	 7064.660842815479 	 22789.791481292326
162 	 78947.85471490595 	 2956.0170390376384 	 7146.630346927107 	 23298.518418226035
163 	 78335.35090196825 	 2973.149856941046 	 7226.383123664023 	 23813.032709422223
164 	 77720.98715080002 	 2988.855109816489 	 7303.799205509264 	 24333.171209615648
165 	 77105.08210864407 	 3003.1034707842696 	 7378.760918041357 	 24858.762272864533
166 	 76487.95715132309 	 3015.868497438168 	 7451.153295395883 	 25389.62593161673
167 	 75869.9356895545 	 3027.1266942657608 	 7520.864523970593 	 25925.57408426936
168 	 75251.34246485599 	 3036.8576357647385 	 7587.786279743259 	 26466.41073882922
169 	 74632.50284828457 	 3045.044037726478 	 7651.81408761863 	 27011.93228354303
170 	 74013.74211243448 	 3051.671857744641 	 7712.847656065475 	 27561.927779754013
171 	 73395.38472003015 	 3056.730366115688 	 7770.791218317028 	 28116.17926120797
172 	 72777.75363113733 	 3060.2121350398666 	 7825.553879323648 	 28674.46209068839
173 	 72161.16959805296 	 3062.1130995208637 	 7877.0499323409185 	 29236.545287638975
174 	 71545.95048421774 	 3062.432548627609 	 7925.199133962647 	 29802.191942956193
175 	 70932.41058792932 	 3061.1731440398275 	 7969.9269819228275 	 30371.159598928552
176 	 70320.85998275568 	 3058.3409054025856 	 8011.164958227165 	 30943.200680337206
177 	 69711.60390374402 	 3053.9451474160146 	 8048.850766857151 	 31518.06293345323
178 	 69104.94211372572 	 3047.998449968201 	 8082.928560672555 	 32095.48986269726
179 	 68501.1683491661 	 3040.5165775075975 	 8113.349084800161 	 32675.221222028653
180 	 67900.56974082925 	 3031.5184190846194 	 8140.0698560270575 	 33256.993474845694
181 	 67303.42629604145 	 3021.025895133022 	 8163.055273350387 	 33840.540294391125
182 	 66710.01039166407 	 3009.063855880558 	 8182.276742822323 	 34425.593047523515
183 	 66120.58635733114 	 2995.6599379266495 	 8197.712711512791 	 35011.88132093938
184 	 65535.41000342814 	 2980.844468402204 	 8209.348751524001 	 35599.13340502004
185 	 64954.7282755146 	 2964.6503070768276 	 8217.177537876103 	 36187.07681941607
186 	 64378.778867579684 	 2947.112719614199 	 8221.198863205202 	 36775.43881183844
187 	 63807.78994325975 	 2928.269213533094 	 8221.419561837936 	 37363.946876805276
188 	 63241.97983475841 	 2908.159382147851 	 8217.853474066284 	 37952.329248506525
189 	 62681.55683446869 	 2886.8247257027147 	 8210.521329852523 	 38540.31540434253
190 	 62126.71897668287 	 2864.308493453034 	 8199.450639787205 	 39127.63655017502
191 	 61577.653895453324 	 2840.6555016231187 	 8184.675534417602 	 39714.02610517992
192 	 61034.53869247072 	 2815.9119648569026 	 8166.236601102559 	 40299.220165663675
193 	 60497.53985810274 	 2790.1253159444705 	 8144.180681257215 	 40882.957967053284
194 	 59966.81322376382 	 2763.3440267915453 	 8118.560664828658 	 41464.98231608139
195 	 59442.503944352386 	 2735.6174268150485 	 8089.43525622992 	 42045.04002401951
196 	 58924.74652560983 	 2706.995535091433 	 8056.868717551972 	 42622.882303958715
197 	 58413.66486246184 	 2677.5288834107596 	 8020.930605189407 	 43198.26517278855
198 	 57909.3723250108 	 2647.2683542167333 	 7981.695484979499 	 43770.94981212557
199 	 57411.971891142115 	 2616.265016842296 	 7939.242621104743 	 44340.702910568805
200 	 56921.55626387834 	 2584.5699623784717 	 7893.655694659397 	 44907.29699291031
201 	 56438.20801413546 	 2552.2341484043 	 7845.022491919209 	 45470.51074437922
202 	 55961.99981216039 	 2519.308266523881 	 7793.434556576435 	 46030.12925943214
203 	 55492.99459790081 	 2485.842595480589 	 7738.986880666116 	 46585.94432734289
204 	 55031.245823970195 	 2451.886874629469 	 7681.777564300338 	 47137.75465603075
205 	 54576.79770260256 	 2417.4901769441612 	 7621.907491673976 	 47685.366076093065
206 	 54129.68545278812 	 2382.7007873953007 	 7559.4799982244795 	 48228.591748131454
207 	 53689.93559371721 	 2347.566111488935 	 7494.600533906797 	 48767.252297494466
208 	 53257.56621009207 	 2312.1325640881805 	 7427.376337776269 	 49301.175985561305
209 	 52832.58726530198 	 2276.4454892563876 	 7357.91611364599 	 49830.19880106612
210 	 52415.00089765642 	 2240.5490734008977 	 7286.329716052833 	 50354.16456475514
211 	 52004.8017333563 	 2204.486269966828 	 7212.727836506483 	 50872.925005472534
212 	 51601.97720768643 	 2168.298746083699 	 7137.221705766731 	 51386.339790044054
213 	 51206.507878907476 	 2132.026816042291 	 7059.922793250202 	 51894.27657650154
214 	 50818.36775782654 	 2095.709403430391 	 6980.9425346121225 	 52396.610994794784
215 	 50437.52462372448 	 2059.3839871358564 	 6900.392044300641 	 52893.22667230679
216 	 50063.94035770394 	 2023.0865894873787 	 6818.381878941435 	 53384.015148980456
217 	 49697.571256613985 	 1986.8517325898806 	 6735.021767502513 	 53868.87587689367
218 	 49338.36835580072 	 1950.7124341542697 	 6650.420394136362 	 54347.71611883682
219 	 48986.277743049926 	 1914.70018598989 	 6564.685165886631 	 54820.450888171035
220 	 48641.240871386595 	 1878.844954707743 	 6477.922013997262 	 55287.002834016275
221 	 48303.19486183764 	 1843.1751804574599 	 6390.235196628346 	 55747.302137035804
222 	 47972.07280646507 	 1807.7177837692361 	 6301.727116624006 	 56201.286381793165
223 	 47647.80405540859 	 1772.4981781620077 	 6212.498165471132 	 56648.90041314274
224 	 47330.31450987141 	 1737.5402823648149 	 6122.646558753493 	 57090.0961955684
225 	 47019.52688633726 	 1702.866546811745 	 6032.268222662712 	 57524.832635960585
226 	 46715.36100779671 	 1668.4979657090548 	 5941.456631370959 	 57953.07544295023
227 	 46417.734039862786 	 1634.4541175496963 	 5850.30273807378 	 58374.796919235654
228 	 46126.56075805942 	 1600.753190137534 	 5758.894854897226 	 58789.975789362936
229 	 45841.753783525426 	 1567.4120131654233 	 5667.318575460066 	 59198.59700888152
230 	 45563.22381509417 	 1534.4460965198903 	 5575.656708299231 	 59600.65156053448
231 	 45290.87986256448 	 1501.8696630914433 	 5483.98920151739 	 59996.1362635297
232 	 45024.62944135987 	 1469.6956948454945 	 5392.39312493509 	 60385.05355065759
233 	 44764.37880616392 	 1437.935966035753 	 5300.942592179724 	 60767.411279353386
234 	 44510.033107854564 	 1406.6010948173578 	 5209.708783202286 	 61143.2225006329
235 	 44261.496624438514 	 1375.700576966552 	 5118.759873859031 	 61512.505264856816
236 	 44018.67288736384 	 1345.2428367311834 	 5028.1610878384545 	 61875.28239264061
237 	 43781.46490156294 	 1315.2352649912593 	 4937.974640368732 	 62231.58127294361
238 	 43549.77524994493 	 1285.6842674490736 	 4848.259805966828 	 62581.43364263732
239 	 43323.50629548045 	 1256.5953060714626 	 4759.072884183234 	 62924.87537723367
240 	 43102.56027132212 	 1227.9729452353952 	 4670.46727212811 	 63261.94628209281
241 	 42886.839459661234 	 1199.8208948056422 	 4582.493455951477 	 63592.68987900854
242 	 42676.246274147445 	 1172.1420520443382 	 4495.199084773964 	 63917.153207948344
243 	 42470.683412507155 	 1144.938545932172 	 4408.628986152725 	 64235.38661464786
244 	 42270.053941155726 	 1118.21177646672 	 4322.825234073976 	 64547.44355870784
245 	 42074.26139411407 	 1091.962456044984 	 4237.827204941143 	 64853.38041730684
246 	 41883.20988312684 	 1066.1906533109388 	 4153.6716176543005 	 65153.25629115604
247 	 41696.804178233266 	 1040.8958292679101 	 4070.3926046710476 	 65447.13281675517
248 	 41514.94978414754 	 1016.0768732049611 	 3988.0217820208286 	 65735.07398407144
249 	 41337.55301601676 	 991.7321404694062 	 3906.588312703209 	 66017.14595961076
250 	 41164.52107054615 	 967.859488871262 	 3826.118975495192 	 66293.41691008078
251 	 40995.76208251493 	 944.4563143020038 	 3746.638236611702 	 66563.95683859578
252 	 40831.18518482762 	 921.5195818471069 	 3668.168324312542 	 66828.83741890585
253 	 40670.700560349105 	 899.0458576896358 	 3590.7293039314472 	 67088.1318366292
254 	 40514.219484494126 	 877.0313397841433 	 3514.339153017129 	 67341.9146408477
255 	 40361.654370697994 	 855.4718880748687 	 3439.013836504143 	 67590.26159324717
256 	 40212.91880492908 	 834.363052545708 	 3364.7673831750385 	 67833.24952909267
257 	 40067.927578386436 	 813.7000988867849 	 3291.6119628397882 	 68070.95622168494
258 	 39926.59671881072 	 793.4780350561228 	 3219.557962430349 	 68303.46024839325
259 	 39788.843511557556 	 773.6916349083062 	 3148.6140612846943 	 68530.84087066932
260 	 39654.58652343444 	 754.335462053008 	 3078.787306184222 	 68753.17791131444
261 	 39523.74562091119 	 735.4038920350321 	 3010.0831858490164 	 68970.55163959382
262 	 39396.241983113825 	 716.8911320987445 	 2942.5057042816284 	 69183.04266513442
263 	 39271.998115274444 	 698.7912417146025 	 2876.0574528831435 	 69390.73183183248
264 	 39150.9378576995 	 681.0981512442736 	 2810.7396814568356 	 69593.70011921652
265 	 39032.98639120017 	 663.8056791126268 	 2746.552367057922 	 69792.02855099515
266 	 38918.070242535636 	 646.9075487848465 	 2683.4942826239644 	 69985.79810400635
267 	 38806.11728566636 	 630.3974040383595 	 2621.563063194507 	 70175.08962547254
268 	 38697.05674073234 	 614.2688233630888 	 2560.7552696951934 	 70359.98375583811
